Id,Name,Vorname,Titel,Partei,Wahlkreis,WahlkreisOrderBy
0fd8b23b-2d5f-40a7-b90b-eb2858f54882,Brändle Galliker,Anna,,SP,,0
2a688402-8d98-4ea6-a444-b247ed9b5809,Brändli,Sebastian,Dr.,SP,,0
f22ffb3c-4b48-4674-864c-a9fe0a96ac7f,Brasser,Ueli,,SD,,0
55639702-fe46-4491-9411-0957f56b5fa1,Breitenstein,Sarah,,SP,10,106
bb606084-7a40-48ee-a4c8-2b06dd6ff02f,Britschgi,Bernhard,,SVP,,0
3481aa49-18ab-45e2-8cbf-250318e21125,Britz,Helmut,,SP,,0
bcae3b99-6601-4c98-ac71-19a73a753448,Browar,Salomon,,,,0
b9c2d889-fb8d-4d11-911b-aa84f9c91d18,Brunner,Alexander,,FDP,7 und 8,104
2d87f64f-7641-4a88-a11d-b8e4a27f29d7,Brunner,Susanne,,SVP,7 und 8,104
4084208d-6380-4d59-a426-01231472d25b,Bucher,Gregor,,,,0
dead565f-5576-499e-bc66-f157f3260b11,Bucher,Judith,,SP,,0
7ebbfe81-3857-4ba3-8ace-0d8dd07a75fa,Bucher-Steinegger,Heidi,,Grüne,,0
0a2595e4-f04c-4b05-910e-4f7b37161eda,Bührig,Marcel,,Grüne,10,106
3c57e8f6-144e-456f-a1e2-b04d3dab62eb,Bünger,Pablo,,FDP,,0
80204cc7-350d-4022-ba7a-7305ccd56dcb,Bürcher,Beat,,SP,,0
94084402-0eda-4721-b504-af8004f9e377,Burger,Martin,,SVP,,0
519973d2-b738-4664-b746-f0f4cb815497,Bürgisser,Balz,Dr.,Grüne,7 und 8,104
72d9c149-3269-42b0-848e-0e21fc8b0c21,Bürki,Martin,,FDP,1 und 2,100
12a1950f-2a80-4c6c-9616-bdc6027a0089,Bürlimann,Martin,,SVP,,0
da17c580-c8b8-4637-8bcc-1fb793dcf5e0,Burri-Wenger,Maya,,SP,,0
251ce636-3d9c-4b7f-9636-af30be0a3263,Butz,Marlène,,SP,,0
562c79aa-a7aa-4395-ac55-22ff24654a0a,Camen,Beat,,SVP,,0
a6adedff-75b3-4890-93bc-e52e0fc04267,Camin,Marco V.,,FDP,,0
1bda67d8-a81a-4cfc-b318-675d4cc4782c,Casparis,Jürg,,SVP,,0
94a4a9fa-6936-45cc-8646-cc0a56b5b453,Casutt,Beatrix,,SVP,,0
e89199fc-577a-4087-b492-df119474be95,Cerliani,Pierino,,Grüne,,0
0be23e59-f64a-44e8-9ebe-56045d9200da,Cheridito,Ilde,,SP,,0
63c8f7d9-abd1-4aae-8106-bfde63980439,Danner,Ernst,,EVP,11,107
8dfe5784-66c6-47ef-a278-4ab9a57b9db1,De Salvador,Massimo,,SP,,0
438fa20f-61c4-49d5-8b76-06bbe37e4d74,Denoth,Marco,,SP, 6,103
e529b7b4-8cbe-46b9-9b60-533662c7c921,Dettli,Reto,,SP,,0
39bf3d70-adba-4060-b8bf-f35021d6337a,Di Concilio,Salvatore,,SP,,0
a31b99fb-c69e-423b-bb2a-6f2b7457b332,Diem,Hans,,CVP,,0
36c6af0b-8d8e-4793-ab65-db44a4ce0f44,Diener,Alfred,,SD,,0
8e9105ee-7f72-4cf5-87cb-2f3f270845ce,Diggelmann,Simon,,SP,4 und 5,102
b8b1fc2d-296d-42c2-88d0-82cd2fbf8915,Dogwiler,Sven Oliver,,SVP,,0
